actor_id,label
1081405,Human
13100598,Human
22494,Human
7648032,Bot
2163522,Human
27288824,Human
5709,Human
1355668,Human
59210087,Human
5076961,Human
18280708,Human
759062,Human
29738535,Human
35039147,Human
11386439,Human
8589138,Human
3428506,Human
3162122,Human
28438021,Human
87618423,Bot
74838964,Bot
10616960,Human
16950305,Human
1353811,Human
66718300,Human
1329165,Human
74699,Human
63096193,Human
19990752,Human
69157597,Human
38534196,Human
35906997,Human
64194467,Human
56747,Human
3707860,Human
4713628,Human
1783339,Human
64280,Human
9011267,Bot
15879987,Human
26539665,Human
44722363,Bot
10598343,Human
1884287,Human
4474856,Human
1307523,Human
30396478,Human
9710256,Human
58626192,Human
5116346,Bot
142120,Human
33500389,Human
22173232,Human
229042,Human
27874591,Human
11522066,Human
69484901,Human
31819732,Human
1405982,Human
524596,Human
67270651,Human
53066066,Human
68449029,Human
458209,Human
69394951,Human
3455449,Human
6717350,Human
30030348,Human
30189103,Bot
57559326,Bot
11527185,Human
31839681,Human
3629629,Human
30238962,Human
33126,Human
8957346,Human
44680817,Human
29703080,Bot
788293,Human
3221000,Human
6303310,Human
25408780,Human
42138517,Human
8739360,Human
18568381,Human
24226219,Human
11470393,Human
67494861,Human
61192422,Human
22763678,Human
69315643,Human
13513658,Human
36574651,Human
22492406,Human
16730661,Human
12201893,Human
47844,Human
8266075,Human
12369792,Human
65566012,Human
6358735,Human
58398485,Human
41898282,Bot
75375782,Human
9460517,Human
46782860,Human
816994,Human
40151425,Human
5000654,Human
2496211,Human
1938389,Human
35181442,Human
1833684,Human
304265,Human
12962539,Bot
1852455,Human
49069586,Human
12112,Human
57515506,Bot
7636440,Human
1354510,Human
533180,Human
70911038,Bot
2031472,Human
195836,Human
30046214,Human
20180777,Human
38097062,Human
395821,Human
922234,Human
34417826,Human
15963992,Human
4200891,Human
40209326,Bot
2951285,Human
44401648,Human
5726497,Human
32688539,Bot
2853489,Human
32685696,Human
64952483,Human
59560949,Bot
33170633,Human
5044195,Human
25398100,Human
5637090,Human
31557639,Human
18329103,Human
42928436,Bot
13013670,Human
1616850,Human
36971155,Bot
33298198,Bot
1491826,Human
13621271,Human
1741700,Human
9599,Human
45834289,Human
2168535,Human
68645946,Human
1715217,Human
15196250,Human
28478594,Human
26902309,Human
62712893,Human
20679825,Human
1373940,Human
28275923,Human
9004309,Human
4945153,Human
77938843,Bot
18272282,Human
28653235,Human
7694,Human
47664151,Human
1321253,Human
1584813,Human
8356503,Human
10919270,Human
31049082,Human
72732935,Human
77521350,Bot
20568,Human
7287697,Human
7829907,Human
27447280,Human
5102591,Human
7101032,Human
31197662,Bot
17795845,Human
7276252,Human
204934,Human
2982335,Human
29104726,Human
1240066,Human
59575534,Human
32535494,Human
16578240,Human
227303,Human
65274619,Human
22890026,Human
12820919,Human
61057625,Human
914548,Human
14978021,Human
7190633,Human
6692083,Human
34974801,Human
9636937,Human
50076933,Human
4502793,Bot
48569085,Bot
27856297,Bot
14807290,Human
37958125,Bot
56196640,Human
32959649,Human
48645689,Human
15682954,Human
2068046,Human
66055060,Human
17517687,Human
29433710,Human
3014232,Human
50820503,Human
950517,Human
58136431,Human
7917093,Bot
39514782,Bot
1926119,Human
43839957,Human
5082246,Human
3014737,Human
72623,Human
12084677,Human
1458520,Human
30536864,Bot
3861465,Human
17905150,Human
1750815,Human
2474926,Human
71022656,Human
30538765,Bot
46012524,Human
15997951,Human
241593,Human
30537854,Bot
32856376,Bot
3242261,Human
42427874,Bot
66541802,Human
10580038,Human
22294314,Human
20452814,Human
47257959,Bot
108104,Human
1499307,Human
58056708,Human
47766566,Bot
37936606,Bot
1787040,Human
28760461,Human
3378822,Human
5003269,Human
899645,Human
3529086,Human
62288713,Human
79776344,Human
44153440,Human
